,Index,pressure,density,temperature,Mach,nu
0,0,0.6843510176843508,0.6704162256318866,0.9558516078953782,1.0,0.0
1,1,0.6702321078648393,0.6515220851621834,0.952931063283597,1.0343487032095997,0.0
2,2,0.6570296611317187,0.6336637293307058,0.9501105894569749,1.0657251784640078,0.006867005945864529
3,3,0.6446311066195084,0.6167582572510457,0.9473832346304588,1.09443284395839,0.015639818856978877
4,4,0.6329425696449507,0.6007313849748088,0.9447428264674298,1.1207408538442813,0.025415681815823148
5,5,0.6218851710131827,0.5855163542636566,0.9421838538117724,1.1448888976296248,0.035750712393383115
6,6,0.6113921557987256,0.5710530030936003,0.9397013700782453,1.1670909018109739,0.046388300098734986
7,7,0.6014066464144173,0.557286970600072,0.9372909137286723,1.187538050435837,0.05716847882460064
8,8,0.5918798701588623,0.5441690143115964,0.9349484423657555,1.206401351049031,0.06798722676207333
9,9,0.5827697505372121,0.5316544215954693,0.932670277776026,1.2238338695832376,0.0787752084810349
10,10,0.5740397796990255,0.5197025004898347,0.9304530598429654,1.2399727033808627,0.08948560083769536
11,11,0.5656581097223436,0.5082761377042355,0.9282937076932101,1.254940733650062,0.10008667414495931
12,12,0.557596815454309,0.4973414136735064,0.9261893867750179,1.2688481848260835,0.11055706382527483
13,13,0.5498312927330485,0.4868672662540935,0.9241374808274516,1.2817940116284319,0.12088265275377723
14,14,0.5056356917858279,0.4768251960397487,0.9044616763565891,1.293867131350614,0.131054460174532
15,15,0.5032764795464679,0.4671890074089803,0.9044616763565891,1.3042873517064142,0.14106718129800255
16,16,0.5008302752057889,0.4579345803496494,0.9044616763565891,1.3140950469836166,0.15091540644230614
17,17,0.4983063465559901,0.44903966887601254,0.9044616763565891,1.323352461185835,0.16059948218454922
18,18,0.4957133369069187,0.4404837224913841,0.9044616763565891,1.3321149316070768,0.17012083476025164
19,19,0.4930592798086117,0.4322477276801333,0.9044616763565891,1.3404316397007505,0.1794816594022988
20,20,0.4903516213848106,0.4243140668556245,0.9044616763565891,1.3483462970812594,0.18868469164912796
21,21,0.4875972475365133,0.41666639256176924,0.9044616763565891,1.3558977657049893,0.19773303813103496
22,22,0.4848025139875053,0.4092895150377819,0.9044616763565891,1.3631206141147472,0.20663005090523728
23,23,0.4819732776937601,0.4021693015188283,0.9044616763565891,1.3700456133719083,0.21537923393055958
24,24,0.479030356850945,0.39529258586785776,0.9044101658785187,1.3767001772565894,0.22398417342757226
25,25,0.4736226054114092,0.38864708732283293,0.902837775102003,1.3831064679972769,0.2324484860980927
26,26,0.4683486169638849,0.38222133730438246,0.9012960790232072,1.3892198659113189,0.24077577945782516
27,27,0.4632022239580121,0.3760046133661732,0.8997840026791255,1.3950644717746625,0.24896959633461302
28,28,0.4581777173795887,0.36998687948779624,0.898300525749689,1.400662202181418,0.2570334484428498
29,29,0.4532698007406361,0.3641587320108022,0.8968446787746202,1.4060330003618713,0.26497079497495046
30,30,0.4484735496319657,0.35851135060528705,0.8954155397154296,1.4111950252089884,0.27278502710598745
31,31,0.4437843760675239,0.3530364537292716,0.894012230822808,1.4161648209600026,0.2804794570312018
32,32,0.4391979969696596,0.3477262581078251,0.8926339157751351,1.4209574696770795,0.2880573104805601
33,33,0.4347104062435953,0.34257344181496513,0.8912797970584373,1.4255867284094703,0.2955217218991693
34,34,0.4303178499718587,0.3375711105900739,0.8899491135620337,1.4300651526932104,0.30287573166794257
35,35,0.4260168043281799,0.3327127670629711,0.8886411383674269,1.4344042078482306,0.3101222848804777
36,36,0.4218039558679916,0.32799228259877045,0.8873551767108225,1.4386143693623772,0.31726423130065057
37,37,0.417676183901089,0.3234038715059753,0.8860905641020774,1.4427052135035556,0.3243043262090328
38,38,0.4136305446928686,0.3189420673795846,0.8848466645849478,1.4466854991718574,0.33124523191091393
39,39,0.4096642572751469,0.31460170137582677,0.8836228691252902,1.4505632418904055,0.3380895197289203
40,40,0.4057746906769216,0.31037788223698465,0.8824185941154064,1.4543457807344875,0.34483967234234303
41,41,0.4019593524104665,0.30626597790401405,0.8812332799840495,1.4580398389114064,0.35149808636585145
42,42,0.398215878069505,0.30226159857163515,0.8800663899027676,1.4616515786267334,0.35806707508421576
43,43,0.3945420219145241,0.29836058105557933,0.8789174085802618,1.4651866508049047,0.36454887127845753
44,44,0.3909356483360173,0.29455897435495904,0.8777858411373142,1.4686502401721933,0.37094563009363235
45,45,0.3873947240999826,0.2908530263045062,0.8766712120556098,1.4720471061569897,0.377259431910087
46,46,0.3839173112917005,0.2872391712218881,0.8755730641944486,1.4753816200151986,0.383492285189207
47,47,0.3805015608839304,0.2837140184646157,0.8744909578699384,1.4786577985466467,0.3896461292719014
48,48,0.3771457068644417,0.2802743418193507,0.873424469991784,1.4818793347310846,0.3957228371137672
49,49,0.3738480608654272,0.2769170696538153,0.8723731932532504,1.4850496255790857,0.40172421794536395
50,50,0.3706070072439759,0.2736392757681171,0.8713367353702882,1.4881717974634392,0.40765201984955085
51,51,0.3674209985686052,0.27043817088821576,0.8703147183661788,1.4912487291700824,0.4135079322506031
52,52,0.3642885514718939,0.26731109474955617,0.8693067778983787,1.494283072883857,0.4192935883119806
53,53,0.3612082428337206,0.2642555087236448,0.8683125626245386,1.4972772733031015,0.4250105672412974
54,54,0.3581787062634964,0.2612689889446168,0.8673317336049283,1.500233585058019,0.43066039650233395
55,55,0.3551986288532167,0.25834921989668086,0.8663639637387398,1.503154088590653,0.43624455393492123
