,Index,pressure,density,temperature,Mach,nu
0,0,0.514093235808167,0.690412247423143,0.8969469555555557,1.0,0.0
1,1,0.5140932358081671,0.6808799284251902,0.8969469555555557,1.0216484001894415,0.0
2,2,0.5140932358081672,0.6716072445750417,0.8969469555555557,1.0427577755310524,0.002748349102041798
3,3,0.5140932358081673,0.6625837307323829,0.8969469555555557,1.0633422082286172,0.006424924034201671
4,4,0.5140932358081675,0.6537994767264611,0.8969469555555557,1.0834160834190882,0.010692144869023732
5,5,0.5140932358081675,0.6452450910496663,0.8969469555555557,1.1029941094539166,0.015369748260788237
6,6,0.5114701217691089,0.6369116673645229,0.8963482743542229,1.1220912400912848,0.020342505786878386
7,7,0.5023631543512609,0.6287907535729899,0.8942464452405638,1.140714910854119,0.02553023357599292
8,8,0.4940247862379351,0.6208743232222508,0.8922902501481512,1.1588586562259517,0.0308742379797995
9,9,0.4863192232204038,0.6131547490436438,0.890455379307813,1.1765377222654314,0.03633006036048106
10,10,0.479146876362465,0.6056247784413533,0.8887238114970695,1.1937691859373754,0.0418634824347717
11,11,0.4724315215406826,0.5982775107652885,0.8870815986096519,1.2105714090897504,0.047447761381045686
12,12,0.4661129912356257,0.5911063762184442,0.8855176129371137,1.2269634450361395,0.053061759067333306
13,13,0.4601426839489625,0.5841051162632342,0.8840227767559617,1.2429645062766723,0.05868862491059038
14,14,0.4544806345335078,0.5772677654039656,0.8825895573475857,1.2585935410842097,0.06431484039742048
15,15,0.4490935091544002,0.5705886342340023,0.8812116191993038,1.2738689253210078,0.06992950980654553
16,16,0.4439531793515718,0.5640622936463585,0.8798835749081322,1.2888082560723557,0.075523823972817
17,17,0.4390356759220769,0.5576835601156243,0.8786008011039517,1.3034282272206894,0.08109064876418005
18,18,0.4343204018120709,0.5514474819673665,0.8773592989267746,1.3177445671519141,0.08662420526974676
19,19,0.4297895274591296,0.5453493265585645,0.8761555860522924,1.331772021467324,0.09211981855591418
20,20,0.4254275182034625,0.5393845682993303,0.8749866116782908,1.3455243669322983,0.09757371840667112
21,21,0.4212207595159683,0.5335488774521968,0.8738496886131251,1.3590144460799396,0.10298287995034272
22,22,0.4171572560942369,0.5278381096507208,0.8727424383547615,1.372254214597256,0.10834489521384352
23,23,0.4132263876723319,0.5222482960840716,0.8716627462039619,1.3852547957943786,0.11365786888370372
24,24,0.409418708997886,0.5167756342987595,0.8706087242403691,1.3980265381376902,0.11892033317489975
25,25,0.4057257846329741,0.5114164795726983,0.869578680537344,1.4105790730941623,0.12413117789990633
26,26,0.4021400515101651,0.5061673368204859,0.8685710933809845,1.4229213714692488,0.12928959271616386
27,27,0.3986547038215292,0.501024852992121,0.8675845895415992,1.4350617970985247,0.13439501919574526
28,28,0.3952635960312297,0.4959858099304186,0.8666179258548047,1.4470081572357882,0.13944711086593084
29,29,0.3919611607079906,0.4910471176551513,0.8656699735260641,1.4587677493170161,0.14444569975577626
30,30,0.3887423385595845,0.48620580804446667,0.8647397046915704,1.4703474040089324,0.14939076828178346
31,31,0.3856025185773365,0.48145902888643144,0.8638261808600005,1.4817535246023739,0.15428242553736563
32,32,0.3825374866054769,0.47680403827565104,0.8629285429309531,1.4929921229062404,0.1591208872319975
33,33,0.3795433809681742,0.4722381993318349,0.8620460025418626,1.5040688518540162,0.16390645866864564
34,34,0.376616654038387,0.46775897521893134,0.8611778345395672,1.5149890350637083,0.16863952026115253
35,35,0.3737540388316904,0.46336392444506225,0.8603233704081549,1.5257576936023414,0.17332051518337818
36,36,0.3709525198680458,0.4590506964249619,0.8594819925132416,1.536379570204197,0.17794993881414015
37,37,0.3682093076731585,0.4548170272879728,0.8586531290459555,1.546859151182277,0.18252832970019792
38,38,0.3655218163952549,0.45066073591588945,0.8578362495687333,1.5572006862581622,0.18705626180666407
39,39,0.3628876440982509,0.4465797201960819,0.8570308610804932,1.567408206518708,0.19153433786258228
40,40,0.3603045553619149,0.44257195347637346,0.8562365045314625,1.5774855406903472,0.19596318364077045
41,41,0.3577704658770352,0.4386354812091122,0.8554527517284898,1.5874363299041327,0.20034344303677845
42,42,0.3552834287712352,0.4347684177727598,0.8546792025804312,1.5972640411076504,0.20467577383304403
43,43,0.3528416224404222,0.4309689434601389,0.8539154826405264,1.6069719792639539,0.20896084405191306
44,44,0.350443339693716,0.42723530162323187,0.8531612409088225,1.6165632984628966,0.2131993288158046
45,45,0.3480869780477619,0.4235657959651182,0.8524161478628733,1.6260410120567446,0.21739190764499325
46,46,0.3457710310287499,0.4199587879702814,0.85167989368931,1.6354080019197512,0.22153926213368938
47,47,0.3434940803609266,0.41641269446510415,0.8509521866925807,1.6446670269204169,0.225642073953673
48,48,0.3412547889361114,0.41292598530092267,0.8502327518603073,1.653820730685359,0.22970102314196375
49,49,0.3390518944736299,0.40949718115251643,0.8495213295673886,1.6628716487250021,0.2337167866351194
50,50,0.3368842037911507,0.406124851425378,0.8488176744032792,1.6718222149835635,0.23769003701793484
51,51,0.3347505876179691,0.4028076122655441,0.8481215541088409,1.6806747678689513,0.24162144145871797
52,52,0.3326499758906364,0.3995441246661705,0.8474327486108592,1.6894315558121382,0.2455116608070738
53,53,0.3305813534781237,0.3963330926654091,0.8467510491437747,1.6980947424002113,0.2493613488333367
54,54,0.3285437562910173,0.39317326163049127,0.8460762574494454,1.7066664111225658,0.2531711515915409
