Index,pressure
0,1.4963963963964033
1,1.4876393858551145
2,1.4790350588352787
3,1.4705779661036336
4,1.4622629507173641
5,1.4540851264373649
6,1.4460398582491876
7,1.4381227447457574
8,1.4303296021568588
9,1.4226564498374694
10,1.4150994970505186
11,1.4076551309002152
12,1.4003199052900064
13,1.3930905307945936
14,1.3859638653492654
15,1.3789369056713594
16,1.3720067793391593
17,1.365170737462441
18,1.358426147886591
19,1.3517704888793163
20,1.3452013432546075
21,1.338716392894019
22,1.332313413629827
23,1.325990270458504
24,1.3197449130565702
25,1.3135753715737744
26,1.3074797526812125
27,1.3014562358545534
28,1.2955030698742205
29,1.289618569526463
30,1.2838011124907311
31,1.2780491364001614
32,1.272361136063193
33,1.2667356608354494
34,1.2611713121320578
35,1.255666741071214
36,1.2502206462408116
37,1.244831771580539
38,1.239498904372301
39,1.2342208733327409
40,1.2289965468016053
41,1.2238248310206887
42,1.2187046684979932
43,1.213635036452516
44,1.2086149453350772
45,1.203643437421101
46,1.1987195854714257
47,1.1938424914575263
48,1.1890112853477721
49,1.1842251239514017
50,1.1794831898173783
51,1.1747846901850902
52,1.170128855984423
53,1.1655149408825571
54,1.160942220375132
55,1.1564099909196295
56,1.1519175691087062
57,1.1474642908816288
58,1.143049510771795
59,1.1386726011886077
60,1.1343329517319962
61,1.130029968537956
62,1.1257630736536268
63,1.1215317044403843
64,1.117335313003681
65,1.113173365648209
66,1.1090453423573017
67,1.1049507362952544
68,1.1008890533315345
69,1.0968598115858694
70,1.0928625409930592
71,1.0888967828867373
72,1.084962089601063
73,1.0810580240895276
74,1.0771841595600558
75,1.0733400791256276
76,1.0695253754696763
77,1.065739650525596
78,1.0619825151696387
79,1.058253588926641
80,1.0545524996878894
81,1.0508788834406797
82,1.0472323840088988
83,1.0436126528041854
84,1.0400193485871925
85,1.0364521372384348
86,1.0329106915383037
87,1.0293946909558656
88,1.02590382144596
89,1.0224377752543106
90,1.0189962507302883
91,1.0155789521469811
92,1.0121855895272625
93,1.0088158784783356
94,1.0054695400312053
95,1.0021463004865643
96,0.9988458912664632
97,0.9955680487715188
98,0.9923125142433675
99,0.9890790336322021
100,0.9858673574691146
101,0.9826772407430715
102,0.9795084427823056
103,0.9763607271399176
104,0.9732338614835665
105,0.9701276174889925
106,0.9670417707372819
107,0.9639761006156681
108,0.9609303902217572
109,0.957904426270996
110,0.9548979990072829
111,0.9519109021165756
112,0.9489429326433744
113,0.9459938909099552
114,0.9430635804382647
115,0.9401518078743402
116,0.9372583829151743
117,0.934383118237931
118,0.9315258294313733
119,0.9286863349294886
120,0.9258644559471721
121,0.9230600164179014
122,0.9202728429333196
123,0.9175027646846796
124,0.9147496134060505
125,0.91201322331922
