,Index,pressure,density,temperature,Mach,nu,p1
0,0,0.6625911625911624,0.5667560370340626,0.9775650287607321,1.0,0.0,2303847.8125538733
1,1,0.6482032014890144,0.550783320732811,0.9765249529736386,1.0218807088330766,0.0,3477027.679548772
2,2,0.6344336774694321,0.5356862353819117,0.9755211511048024,1.0425313398722393,0.005598111673789205,0.0
3,3,0.6212420869367515,0.5213946982834062,0.9745513510014525,1.0620817529960882,0.012931215264806542,0.0
4,4,0.608591590709256,0.5078459113208447,0.9736134787921664,1.0806428533756451,0.021282583171377396,0.0
5,5,0.5964485802722296,0.49498343845769666,0.9727056370986314,1.098310045031045,0.030281051470798733,0.0
6,6,0.5847823082888692,0.4827564199608712,0.9718260861029202,1.1151659350509069,0.0396985107930454,0.0
7,7,0.5735645719505614,0.47111890027769143,0.9709732270385864,1.1312824765911529,0.04938297534466953,0.0
8,8,0.562769440090735,0.46002925083933677,0.9701455877475376,1.1467226853086927,0.059228329233660254,0.0
9,9,0.5523730167908706,0.4494496725091696,0.9693418100043221,1.1615420273111154,0.06915823448017876,0.0
10,10,0.5423532356088356,0.4393457651426844,0.9685606383580894,1.1757895511800718,0.07911666724310695,0.0
11,11,0.5326896796571622,0.42968615393029796,0.9678009102823081,1.1895088184948108,0.08906196021776971,0.0
12,12,0.5233634236248331,0.42044216397185685,0.96706154745509,1.2027386741948056,0.09896286366250329,0.0
13,13,0.5143568945243763,0.41158753597244957,0.9663415480200638,1.2155138885362353,0.10879584288762334,0.0
14,14,0.5056537484969259,0.4030981771223777,0.9656399797002273,1.2278656952861517,0.11854316968609566,0.0
15,15,0.4972387614516893,0.39495194218401614,0.9649559736559592,1.2398222454591332,0.12819154281029488,0.0
16,16,0.4890977316760976,0.38712844059703766,0.9642887189940546,1.25140899184888,0.1377310716744516,0.0
17,17,0.4812173928464314,0.37960886606434235,0.9636374578478278,1.2626490165007405,0.14715451564868215,0.0
18,18,0.4735853361095046,0.3723758456202781,0.9630014809594284,1.2735633108679463,0.15645670695335678,0.0
19,19,0.4661899401046504,0.36541330563124647,0.9623801237049117,1.2841710165194582,0.16563410777418966,0.0
20,20,0.4590203079599815,0.3587063525532046,0.9617727625105665,1.294489632793177,0.1746844669931667,0.0
21,21,0.4520662104341953,0.35224116658425314,0.9611788116157906,1.3045351966208067,0.18360655183121322,0.0
22,22,0.4453180344901743,0.34600490661420225,0.9605977201435841,1.314322438819805,0.19239993647951398,0.0
23,23,0.4387667366833561,0.3399856250954189,0.9600289694446941,1.323864920400996,0.20106483452999305,0.0
24,24,0.4324038008295713,0.33417219164744305,0.9594720706856856,1.3331751518376351,0.20960196537573272,0.0
25,25,0.426221199486386,0.328554224367573,0.9589265626548857,1.342264697752513,0.2180124471732968,0.0
26,26,0.4202113588410425,0.3231220279555664,0.9583920097632956,1.3511442690806024,0.22629771072686644,0.0
27,27,0.4143671266485871,0.31786653787664804,0.9578680002203024,1.35982380443757,0.23445942996061897,0.0
28,28,0.4086817429071028,0.31277926988634847,0.9573541443663904,1.3683125421549964,0.24249946562184227,0.0
29,29,0.4031488129942709,0.3078522743259443,0.9568500731471107,1.3766190842202188,0.2504198195937032,0.0
30,30,0.3977622830217044,0.30307809467062224,0.9563554367143557,1.3847514531735121,0.25822259775724377,0.0
31,31,0.3925164171914304,0.2984497298757576,0.9558699031425618,1.3927171428608625,0.26590997977256786,0.0
32,32,0.3874057769631597,0.29396060012140224,0.955393157248819,1.4005231638112634,0.2734841944820972,0.0
33,33,0.3824252018621359,0.28960451560248524,0.9549248995070786,1.4081760838988056,0.28094749989811496,0.0
34,34,0.3775697917758487,0.28537564805340565,0.9544648450476971,1.4156820648582062,0.28830216694015987,0.0
35,35,0.3728348906040849,0.2812685047315452,0.9540127227344858,1.423046895144919,0.2955504662482436,0.0
36,36,0.3682160711410295,0.27727790461549107,0.9535682743122503,1.4302760195651816,0.30269465752511937,0.0
37,37,0.3637091210806527,0.273398956601092,0.9531312536185329,1.4373745660453625,0.30973698096231406,0.0
38,38,0.3593100300476782,0.26962703950240896,0.9527014258539024,1.444347369862167,0.31667965038596957,0.0
39,39,0.3550149775662082,0.2659577836856235,0.9522785669057086,1.45119899561432,0.323524847824019,0.0
40,40,0.3508203218867478,0.2623870541824369,0.9518624627207207,1.4579337571812137,0.33027471924917,0.0
41,41,0.3467225896000715,0.25891093514575775,0.9514529087225136,1.46455573588375,0.3369313712951511,0.0
42,42,0.3427184659732216,0.25552571552482584,0.9510497092698673,1.4710687970365157,0.34349686877870456,0.0
43,43,0.3388047859490428,0.25222787584960554,0.950652677152801,1.477476605057837,0.3499732328884545,0.0
44,44,0.3349785257561008,0.2490140760255113,0.950261633123178,1.4837826372846867,0.35636243992528255,0.0
45,45,0.3312367950807206,0.24588114404948533,0.9498764054571052,1.4899901966223998,0.36266642049818876,0.0
46,46,0.3275768297572521,0.2428260655672938,0.9494968295466025,1.4961024231443274,0.3688870590955846,0.0
47,47,0.3239959849365899,0.23984597419977308,0.9491227475182493,1.5021223047436223,0.3750261939651819,0.0
48,48,0.3204917286965083,0.23693814257276913,0.9487540078767177,1.508052686928033,0.38108561724661005,0.0
49,49,0.3170616360605479,0.2340999739917653,0.9483904651712896,1.5138962818386594,0.38706707531001855,0.0
50,50,0.3137033833950489,0.23132899470778115,0.9480319796836169,1.5196556765649119,0.3929722692615254,0.0
51,51,0.3104147431565206,0.22862284672612496,0.9476784171351417,1.5253333408202538,0.3988028555827274,0.0
52,52,0.3071935789638663,0.22597928111406052,0.9473296484127196,1.5309316340365449,0.4045604468768041,0.0
53,53,0.3040378409721027,0.22339615176746702,0.9469855493111198,1.536452811928835,0.4102466126982058,0.0
54,54,0.3009455615261324,0.22087140960018076,0.9466460002911825,1.5418990325771835,0.4158628804466581,0.0
55,55,0.2979148510748632,0.2184030971229533,0.9463108862525157,1.5472723620673945,0.4214107363093643,0.0
56,56,0.2949438943275571,0.2159893433818841,0.9459800963197044,1.5525747797284082,0.4268916262379351,0.0
57,57,0.2920309466357225,0.21362835922882167,0.9456535236410901,1.557808183000397,0.4323069569488099,0.0
58,58,0.2891743305851812,0.21131843289860697,0.9453310651992504,1.5629743919643233,0.4376580969378178,0.0
59,59,0.2863724327841309,0.20905792587018218,0.9450126216323805,1.5680751535607875,0.44294637750111715,0.0
60,60,0.2836237008341124,0.20684526899053426,0.944698097065839,1.573112145523371,0.44817309375609565,0.0
61,61,0.280926640471796,0.20467895884220436,0.9443873989531771,1.5780869800493387,0.45333950565695125,0.0
62,62,0.2782798128703998,0.2025575543366919,0.9440804379260268,1.5830012072284667,0.4584468390006308,0.0
63,63,0.275681832090396,0.20047967351753232,0.9437771276522623,1.5878563182488754,0.46349628641961804,0.0
64,64,0.2731313626699199,0.19844399055814563,0.9434773847019022,1.592653748397058,0.46848900835874563,0.0
65,65,0.2706271173459986,0.19644923294075006,0.9431811284202549,1.5973948798677753,0.47342613403378864,0.0
66,66,0.2681678548983607,0.19449417880372818,0.9428882808078449,1.6020810443981124,0.47830876237008185,0.0
67,67,0.2657523781081753,0.19257765444582534,0.9425987664066954,1.606713525738764,0.48313796291981936,0.0
68,68,0.2633795318246152,0.19069853197646836,0.9423125121925697,1.6112935619744915,0.4879147767570396,0.0
